Y	Grating	
10	6.1309E-4
9.8	2.5661E-4
9.6	8.6612E-4
9.4	6.122E-4
9.2	5.784E-4
9	4.9378E-4
8.8	-2.0054E-4
8.6	-1.3281E-4
8.4	0.0047964
8.2	0.041317
8	0.085285
7.8	0.10566
7.6	0.11412
7.4	0.11872
7.2	0.12223
7	0.12333
6.8	0.12477
6.6	0.12544
6.4	0.12571
6.2	0.12626
6	0.12646
5.8	0.12692
5.6	0.12639
5.4	0.1269
5.2	0.12739
5	0.12739
4.8	0.12754
4.6	0.12818
4.4	0.12819
4.2	0.12801
4	0.12811
3.8	0.12828
3.6	0.12807
3.4	0.12859
3.2	0.12903
3	0.12871
2.8	0.12889
2.6	0.1283
2.4	0.12957
2.2	0.12879
2	0.12902
1.8	0.12989
1.6	0.13012
1.4	0.12973
1.2	0.13014
1	0.12985
0.8	0.12995
0.6	0.13022
0.4	0.13051
0.2	0.13081
0	0.13121
-0.2	0.1299
-0.4	0.13105
-0.6	0.13094
-0.8	0.13103
-1	0.13054
-1.2	0.13096
-1.4	0.12952
-1.6	0.13158
-1.8	0.13113
-2	0.13204
-2.2	0.13163
-2.4	0.13212
-2.6	0.13246
-2.8	0.13243
-3	0.13295
-3.2	0.13264
-3.4	0.13278
-3.6	0.13298
-3.8	0.13295
-4	0.13332
-4.2	0.13267
-4.4	0.13338
-4.6	0.13338
-4.8	0.13336
-5	0.13468
-5.2	0.13372
-5.4	0.13326
-5.6	0.13417
-5.8	0.13418
-6	0.13485
-6.2	0.13427
-6.4	0.13431
-6.6	0.13494
-6.8	0.13511
-7	0.13597
-7.2	0.13506
-7.4	0.1358
-7.6	0.13573
-7.8	0.13468
-8	0.12767
-8.2	0.031003
-8.4	0.0053592
-8.6	0.0031049
-8.8	0.0024949
-9	0.0016474
-9.2	0.0011874
-9.4	2.3965E-4
-9.6	5.2744E-4
-9.8	7.3062E-4
-10	7.1378E-4
